Loading data...
Found 1731 confirmed mismatches to relabel
Caching reference images...
  Cached 346 reference images
To process: 1731
  [1/1731] ✓ ann    29: C:100 O:100 G:100 agree EVERGOOD CLASSIC HELE BØN -> 100(EVERGOOD CLASSIC FIL) (0.1/s, ETA:194m)
  [14/1731] ? ann  2277: C:56 O:259 G:None split FRIELE FROKOST KOKMALT 25 -> 56(SJOKOLADEDRIKK 10PK ) (0.3/s, ETA:98m)
  [15/1731] ✓ ann  2558: C:40 O:40 G:40 agree FRIELE FROKOST KOKMALT 25 -> 40(FRIELE FROKOST FILTE) (0.3/s, ETA:98m)
  [16/1731] ? ann  2935: C:321 O:None G:None split FRIELE FROKOST KOKMALT 25 -> 321(GIFFLAR KANEL 300G P) (0.3/s, ETA:98m)
  [17/1731] ? ann  2936: C:298 O:None G:None split FRIELE FROKOST KOKMALT 25 -> 298(O'BOY ORIGINAL 450G ) (0.3/s, ETA:97m)
  [18/1731] ✓ ann  4137: C:55 O:None G:55 agree GREEN CEYLON TE ØKOLOGISK -> 55(COTW LUNGO KOFFEINFR) (0.3/s, ETA:96m)
  [19/1731] ✓ ann  4864: C:100 O:100 G:100 agree EVERGOOD CLASSIC HELE BØN -> 100(EVERGOOD CLASSIC FIL) (0.3/s, ETA:96m)
  [20/1731] ? ann  5209: C:100 O:304 G:None split EVERGOOD CLASSIC HELE BØN -> 100(EVERGOOD CLASSIC FIL) (0.3/s, ETA:96m)
  [21/1731] ✓ ann  5704: C:304 O:304 G:304 agree EVERGOOD CLASSIC HELE BØN -> 304(EVERGOOD CLASSIC KOK) (0.3/s, ETA:96m)
  [22/1731] ✓ ann  5871: C:298 O:172 G:172 agree FRIELE FROKOST KOKMALT 25 -> 172(FRIELE INSTANT GULL ) (0.3/s, ETA:96m)
  [23/1731] ? ann  6233: C:25 O:None G:40 split FRIELE FROKOST KOKMALT 25 -> 25(ALI MØRKBRENT KAFFEK) (0.3/s, ETA:95m)
  [24/1731] ✓ ann  6234: C:40 O:40 G:40 agree FRIELE FROKOST KOKMALT 25 -> 40(FRIELE FROKOST FILTE) (0.3/s, ETA:94m)
  [25/1731] ✓ ann  8016: C:72 O:72 G:None agree Økologiske Egg 10stk -> 72(EGG FRITTGÅENDE 12ST) (0.3/s, ETA:95m)
  [26/1731] ? ann  8017: C:275 O:72 G:None split Økologiske Egg 10stk -> 275(EGG FRITTGÅENDE 18ST) (0.3/s, ETA:95m)
  [27/1731] ✓ ann  8018: C:80 O:80 G:None agree Økologiske Egg 10stk -> 80(FROKOSTEGG FRITTGÅEN) (0.3/s, ETA:94m)
  [28/1731] ? ann  8020: C:275 O:None G:None split Økologiske Egg 10stk -> 275(EGG FRITTGÅENDE 18ST) (0.3/s, ETA:94m)
  [29/1731] ✓ ann  8021: C:80 O:80 G:275 agree Økologiske Egg 10stk -> 80(FROKOSTEGG FRITTGÅEN) (0.3/s, ETA:94m)
  [30/1731] ? ann  8022: C:193 O:195 G:None split Økologiske Egg 10stk -> 193(EGG ØKOLOGISK 6STK 3) (0.3/s, ETA:95m)
  [31/1731] ✓ ann  8609: C:138 O:138 G:138 agree Økologiske Egg 6stk -> 138(Økologiske Egg 10stk) (0.3/s, ETA:95m)
  [32/1731] ✓ ann  8610: C:138 O:138 G:138 agree Økologiske Egg 6stk -> 138(Økologiske Egg 10stk) (0.3/s, ETA:95m)
  [33/1731] ✓ ann  8611: C:138 O:138 G:None agree Økologiske Egg 6stk -> 138(Økologiske Egg 10stk) (0.3/s, ETA:95m)
  [34/1731] ✓ ann  8612: C:138 O:138 G:138 agree Økologiske Egg 6stk -> 138(Økologiske Egg 10stk) (0.3/s, ETA:95m)
  [35/1731] ✓ ann  8613: C:72 O:72 G:None agree Økologiske Egg 10stk -> 72(EGG FRITTGÅENDE 12ST) (0.3/s, ETA:95m)
  [36/1731] ? ann  8614: C:135 O:None G:None split Økologiske Egg 10stk -> 135(GÅRDSEGG EKSTRA STOR) (0.3/s, ETA:94m)
  [37/1731] ? ann  8615: C:135 O:None G:None split Økologiske Egg 10stk -> 135(GÅRDSEGG EKSTRA STOR) (0.3/s, ETA:94m)
  [38/1731] ? ann  9139: C:275 O:None G:None split GÅRDSEGG M/L 12STK ELDORA -> 275(EGG FRITTGÅENDE 18ST) (0.3/s, ETA:93m)
  [39/1731] ? ann  9525: C:286 O:72 G:232 split Økologiske Egg 6stk -> 286(EGG L 10STK TOTEN) (0.3/s, ETA:93m)
  [40/1731] ✓ ann  9526: C:72 O:232 G:72 agree Økologiske Egg 6stk -> 72(EGG FRITTGÅENDE 12ST) (0.3/s, ETA:92m)
  [41/1731] ? ann  9527: C:80 O:None G:None split Økologiske Egg 6stk -> 80(FROKOSTEGG FRITTGÅEN) (0.3/s, ETA:91m)
  [42/1731] ? ann  9528: C:80 O:None G:None split Økologiske Egg 6stk -> 80(FROKOSTEGG FRITTGÅEN) (0.3/s, ETA:91m)
  [43/1731] ? ann  9529: C:213 O:72 G:None split Økologiske Egg 6stk -> 213(EGG FRITTGÅENDE M/L ) (0.3/s, ETA:91m)
  [44/1731] ? ann  9530: C:80 O:None G:None split Økologiske Egg 6stk -> 80(FROKOSTEGG FRITTGÅEN) (0.3/s, ETA:91m)
  [45/1731] ✓ ann  9685: C:295 O:295 G:295 agree MELANGE FLYTENDE MARGARIN -> 295(MELANGE FLYTENDE 500) (0.3/s, ETA:91m)
  [46/1731] ✓ ann  9687: C:295 O:295 G:295 agree MELANGE FLYTENDE MARGARIN -> 295(MELANGE FLYTENDE 500) (0.3/s, ETA:91m)
  [47/1731] ? ann  9845: C:224 O:18 G:None split SMØREMYK MELKEFRI 400G BE -> 224(SOFT FLORA LETT 540G) (0.3/s, ETA:91m)
  [48/1731] ? ann  9895: C:267 O:213 G:None split Eldorado Flytende Gårdseg -> 267(EGGEHVITE 500G ELDOR) (0.3/s, ETA:91m)
  [49/1731] ? ann  9896: C:267 O:None G:None split Eldorado Flytende Gårdseg -> 267(EGGEHVITE 500G ELDOR) (0.3/s, ETA:91m)
  [50/1731] ✓ ann  9937: C:8 O:105 G:105 agree Sunnmørsegg -> 105(EGG ØKOLOGISK M/L 12) (0.3/s, ETA:91m)
  [51/1731] ✓ ann  9938: C:246 O:185 G:246 agree Sunnmørsegg -> 246(HUSMAN KNEKKEBRØD 26) (0.3/s, ETA:91m)
  [52/1731] ✓ ann 10015: C:283 O:283 G:None agree Eldorado Flytende Gårdseg -> 283(GÅRDSEGG M/L 12STK E) (0.3/s, ETA:91m)
  [53/1731] ? ann 10019: C:230 O:None G:None split Sunnmørsegg -> 230(JARLSBERG 27% SKIVET) (0.3/s, ETA:91m)
  [54/1731] ? ann 10430: C:213 O:None G:187 split CHEERIOS MULTI 375G NESTL -> 213(EGG FRITTGÅENDE M/L ) (0.3/s, ETA:91m)
  [55/1731] ✓ ann 10905: C:121 O:121 G:None agree SJOKORINGER 375G ELDORADO -> 121(FROKOST-TALL 250G EL) (0.3/s, ETA:91m)
  [56/1731] ? ann 12703: C:322 O:None G:97 split SJOKORINGER 375G ELDORADO -> 322(STEKEMARGARIN 500G F) (0.3/s, ETA:91m)
  [57/1731] ✓ ann 15386: C:19 O:19 G:168 agree SUPERGRØT SKOGSBÆR 57G BA -> 19(MOLLBERGS ZOEGAS 16K) (0.3/s, ETA:91m)
  [58/1731] ? ann 15523: C:201 O:None G:None split MÜSLI FRUKT MÜSLI 700G AX -> 201(MUSLI FRUKT 700G AXA) (0.3/s, ETA:91m)
  [59/1731] ✓ ann 15524: C:201 O:201 G:None agree MÜSLI FRUKT MÜSLI 700G AX -> 201(MUSLI FRUKT 700G AXA) (0.3/s, ETA:91m)
  [60/1731] ✓ ann 15876: C:345 O:108 G:108 agree SVARTHAVREGRYN LETTKOKTE  -> 108(MUSLI M/BELGISK SJOK) (0.3/s, ETA:91m)
  [61/1731] ? ann 15877: C:92 O:None G:None split SVARTHAVREGRYN LETTKOKTE  -> 92(KNEKKEBRØD GODT FOR ) (0.3/s, ETA:91m)
  [62/1731] ? ann 15878: C:345 O:108 G:None split SVARTHAVREGRYN LETTKOKTE  -> 345(KNEKKEBRØD URTER&HAV) (0.3/s, ETA:91m)
  [63/1731] ✓ ann 15987: C:282 O:282 G:243 agree HAVREFRAS 375G -> 282(FILTERPOSER NR.4 200) (0.3/s, ETA:91m)
  [64/1731] ✓ ann 17201: C:201 O:201 G:None agree MÜSLI FRUKT MÜSLI 700G AX -> 201(MUSLI FRUKT 700G AXA) (0.3/s, ETA:91m)
  [65/1731] ? ann 17202: C:261 O:None G:None split MÜSLI FRUKT MÜSLI 700G AX -> 261(MÜSLI HASSELNØTT 600) (0.3/s, ETA:90m)
  [66/1731] ✓ ann 17348: C:201 O:201 G:201 agree MÜSLI FRUKT MÜSLI 700G AX -> 201(MUSLI FRUKT 700G AXA) (0.3/s, ETA:90m)
  [67/1731] ? ann 17349: C:201 O:None G:None split MÜSLI FRUKT MÜSLI 700G AX -> 201(MUSLI FRUKT 700G AXA) (0.3/s, ETA:90m)
  [68/1731] ✓ ann 17350: C:201 O:201 G:None agree MÜSLI FRUKT MÜSLI 700G AX -> 201(MUSLI FRUKT 700G AXA) (0.3/s, ETA:90m)
  [69/1731] ? ann 17351: C:201 O:None G:None split MÜSLI FRUKT MÜSLI 700G AX -> 201(MUSLI FRUKT 700G AXA) (0.3/s, ETA:90m)
  [70/1731] ? ann 18903: C:86 O:None G:274 split OB PROCOMFORT NORMAL 16ST -> 86(HAVRE KNEKKEBRØD 300) (0.3/s, ETA:90m)
  [71/1731] ? ann 18980: C:211 O:250 G:None split Leksands Rutbit -> 211(BJØRN HAVREMEL 1KG A) (0.3/s, ETA:90m)
  [72/1731] ? ann 18981: C:211 O:250 G:None split Leksands Rutbit -> 211(BJØRN HAVREMEL 1KG A) (0.3/s, ETA:89m)
  [73/1731] ? ann 18986: C:94 O:None G:None split Leksands Rutbit -> 94(HAVREGRYN STORE GLUT) (0.3/s, ETA:89m)
  [74/1731] ? ann 18987: C:211 O:None G:None split Leksands Rutbit -> 211(BJØRN HAVREMEL 1KG A) (0.3/s, ETA:90m)
  [75/1731] ✓ ann 19120: C:233 O:236 G:236 agree Leksands Rutbit -> 236(LEKSANDS KNEKKE RUTB) (0.3/s, ETA:90m)
  [76/1731] ✓ ann 19121: C:236 O:236 G:236 agree Leksands Rutbit -> 236(LEKSANDS KNEKKE RUTB) (0.3/s, ETA:90m)
  [77/1731] ? ann 19244: C:211 O:233 G:None split Leksands Rutbit -> 211(BJØRN HAVREMEL 1KG A) (0.3/s, ETA:90m)
  [78/1731] ? ann 19422: C:94 O:250 G:None split Leksands Rutbit -> 94(HAVREGRYN STORE GLUT) (0.3/s, ETA:90m)
  [79/1731] ✓ ann 19513: C:211 O:207 G:207 agree Leksands Rutbit -> 207(LEKSANDS KNEKKE FIBE) (0.3/s, ETA:90m)
  [80/1731] ✓ ann 20029: C:184 O:236 G:236 agree Leksands Rutbit -> 236(LEKSANDS KNEKKE RUTB) (0.3/s, ETA:90m)
  [81/1731] ? ann 20883: C:233 O:None G:None split Leksands Rutbit -> 233(LEKSANDS KNEKKE GODT) (0.3/s, ETA:90m)
  [82/1731] ? ann 21000: C:94 O:82 G:None split Leksands Rutbit -> 94(HAVREGRYN STORE GLUT) (0.3/s, ETA:90m)
  [83/1731] ? ann 21807: C:94 O:207 G:None split Leksands Rutbit -> 94(HAVREGRYN STORE GLUT) (0.3/s, ETA:90m)
  [84/1731] ? ann 21935: C:184 O:None G:None split Leksands Rutbit -> 184(EARL GREY TEA 200G T) (0.3/s, ETA:90m)
  [85/1731] ? ann 21947: C:96 O:None G:249 split LEKSANDS KNEKKE GODT STEK -> 96(FLATBRØD 275G KORNI) (0.3/s, ETA:90m)
  [86/1731] ? ann 22421: C:109 O:None G:103 split LEKSANDS KNEKKE NORMALT S -> 109(KNEKKEBRØD 100 FRØ&H) (0.3/s, ETA:90m)
  [87/1731] ? ann 22841: C:211 O:207 G:None split Leksands Rutbit -> 211(BJØRN HAVREMEL 1KG A) (0.3/s, ETA:90m)
  [88/1731] ✓ ann 22842: C:82 O:82 G:None agree Leksands Rutbit -> 82(FRØ & HAVSALT 200G L) (0.3/s, ETA:90m)
  [89/1731] ✓ ann 23732: C:122 O:236 G:236 agree Leksands Rutbit -> 236(LEKSANDS KNEKKE RUTB) (0.3/s, ETA:90m)
  [90/1731] ? ann 23735: C:271 O:None G:233 split Leksands Rutbit -> 271(FRUKOST KNEKKEBRØD 2) (0.3/s, ETA:90m)
  [91/1731] ✓ ann 24234: C:351 O:110 G:351 agree KNEKKEBRØD RUNDA SESAM&HA -> 351(BREMYKT MYKERE 500G) (0.3/s, ETA:90m)
  [92/1731] ? ann 24400: C:234 O:None G:None split Leksands Rutbit -> 234(LANO SÅPE 2X125G) (0.3/s, ETA:90m)
  [93/1731] ✓ ann 24489: C:234 O:234 G:230 agree Leksands Rutbit -> 234(LANO SÅPE 2X125G) (0.3/s, ETA:90m)
  [94/1731] ✓ ann 24491: C:282 O:282 G:281 agree Leksands Rutbit -> 282(FILTERPOSER NR.4 200) (0.3/s, ETA:90m)
  [95/1731] ? ann 24675: C:234 O:233 G:None split Leksands Rutbit -> 234(LANO SÅPE 2X125G) (0.3/s, ETA:90m)
  [96/1731] ? ann 24676: C:226 O:233 G:None split Leksands Rutbit -> 226(LEKSANDS TREKANT HAV) (0.3/s, ETA:90m)
  [97/1731] ✓ ann 24677: C:184 O:233 G:233 agree Leksands Rutbit -> 233(LEKSANDS KNEKKE GODT) (0.3/s, ETA:90m)
  [98/1731] ? ann 24678: C:234 O:233 G:None split Leksands Rutbit -> 234(LANO SÅPE 2X125G) (0.3/s, ETA:90m)
  [99/1731] ? ann 25062: C:302 O:None G:None split Leksands Rutbit -> 302(MELANGE MARGARIN 250) (0.3/s, ETA:90m)
  [100/1731] ? ann 25162: C:94 O:None G:None split Leksands Rutbit -> 94(HAVREGRYN STORE GLUT) (0.3/s, ETA:90m)
  [101/1731] ✓ ann 25165: C:234 O:234 G:234 agree Leksands Rutbit -> 234(LANO SÅPE 2X125G) (0.3/s, ETA:90m)
  [102/1731] ? ann 25166: C:234 O:None G:None split Leksands Rutbit -> 234(LANO SÅPE 2X125G) (0.3/s, ETA:90m)
  [103/1731] ✓ ann 25167: C:233 O:302 G:233 agree Leksands Rutbit -> 233(LEKSANDS KNEKKE GODT) (0.3/s, ETA:90m)
  [104/1731] ? ann 25168: C:211 O:None G:None split Leksands Rutbit -> 211(BJØRN HAVREMEL 1KG A) (0.3/s, ETA:90m)
  [105/1731] ? ann 25169: C:283 O:None G:None split Leksands Rutbit -> 283(GÅRDSEGG M/L 12STK E) (0.3/s, ETA:89m)
  [106/1731] ✓ ann 25328: C:19 O:19 G:None agree KNEKKEBRØD 100 FRØ&HAVSAL -> 19(MOLLBERGS ZOEGAS 16K) (0.3/s, ETA:89m)
  [107/1731] ? ann 25355: C:184 O:None G:None split Leksands Rutbit -> 184(EARL GREY TEA 200G T) (0.3/s, ETA:89m)
  [108/1731] ✓ ann 25356: C:83 O:None G:83 agree Leksands Rutbit -> 83(BLACK TEA PEACG&MANG) (0.3/s, ETA:89m)
  [109/1731] ? ann 25362: C:230 O:None G:None split Leksands Rutbit -> 230(JARLSBERG 27% SKIVET) (0.3/s, ETA:89m)
  [110/1731] ✓ ann 25363: C:230 O:230 G:109 agree Leksands Rutbit -> 230(JARLSBERG 27% SKIVET) (0.3/s, ETA:89m)
  [111/1731] ✓ ann 25417: C:302 O:302 G:302 agree Leksands Rutbit -> 302(MELANGE MARGARIN 250) (0.3/s, ETA:89m)
  [112/1731] ? ann 25419: C:210 O:None G:None split Leksands Rutbit -> 210(COTW ESPRESSO KAFFEK) (0.3/s, ETA:89m)
  [113/1731] ? ann 25593: C:283 O:233 G:None split Leksands Rutbit -> 283(GÅRDSEGG M/L 12STK E) (0.3/s, ETA:89m)
  [114/1731] ✓ ann 25594: C:233 O:233 G:None agree Leksands Rutbit -> 233(LEKSANDS KNEKKE GODT) (0.3/s, ETA:89m)
  [115/1731] ✓ ann 25595: C:233 O:233 G:None agree Leksands Rutbit -> 233(LEKSANDS KNEKKE GODT) (0.3/s, ETA:89m)
  [116/1731] ? ann 25596: C:230 O:233 G:None split Leksands Rutbit -> 230(JARLSBERG 27% SKIVET) (0.3/s, ETA:89m)
  [117/1731] ✓ ann 26425: C:236 O:236 G:236 agree Leksands Rutbit -> 236(LEKSANDS KNEKKE RUTB) (0.3/s, ETA:89m)
  [118/1731] ? ann 26812: C:184 O:250 G:None split Leksands Rutbit -> 184(EARL GREY TEA 200G T) (0.3/s, ETA:89m)
  [119/1731] ? ann 26813: C:184 O:250 G:None split Leksands Rutbit -> 184(EARL GREY TEA 200G T) (0.3/s, ETA:89m)
  [120/1731] ? ann 26814: C:184 O:None G:None split Leksands Rutbit -> 184(EARL GREY TEA 200G T) (0.3/s, ETA:89m)
  [121/1731] ? ann 26924: C:184 O:207 G:None split Leksands Rutbit -> 184(EARL GREY TEA 200G T) (0.3/s, ETA:89m)
  [122/1731] ? ann 26925: C:184 O:207 G:None split Leksands Rutbit -> 184(EARL GREY TEA 200G T) (0.3/s, ETA:89m)
  [123/1731] ? ann 26927: C:184 O:207 G:None split Leksands Rutbit -> 184(EARL GREY TEA 200G T) (0.3/s, ETA:89m)
  [124/1731] ? ann 26928: C:184 O:207 G:None split Leksands Rutbit -> 184(EARL GREY TEA 200G T) (0.3/s, ETA:89m)
  [125/1731] ? ann 26929: C:230 O:207 G:None split Leksands Rutbit -> 230(JARLSBERG 27% SKIVET) (0.3/s, ETA:89m)
  [126/1731] ? ann 26930: C:184 O:207 G:None split Leksands Rutbit -> 184(EARL GREY TEA 200G T) (0.3/s, ETA:89m)
  [127/1731] ? ann 26931: C:212 O:207 G:None split Leksands Rutbit -> 212(KNEKKEBRØD 220G SIGD) (0.3/s, ETA:89m)
  [128/1731] ? ann 27174: C:211 O:None G:None split Leksands Rutbit -> 211(BJØRN HAVREMEL 1KG A) (0.3/s, ETA:89m)
  [129/1731] ? ann 27176: C:184 O:None G:None split Leksands Rutbit -> 184(EARL GREY TEA 200G T) (0.3/s, ETA:89m)
  [130/1731] ? ann 27177: C:211 O:None G:None split Leksands Rutbit -> 211(BJØRN HAVREMEL 1KG A) (0.3/s, ETA:89m)
  [131/1731] ✓ ann 27524: C:233 O:233 G:None agree Leksands Rutbit -> 233(LEKSANDS KNEKKE GODT) (0.3/s, ETA:89m)
  [132/1731] ? ann 27525: C:211 O:None G:None split Leksands Rutbit -> 211(BJØRN HAVREMEL 1KG A) (0.3/s, ETA:89m)
  [133/1731] ? ann 27526: C:94 O:None G:None split Leksands Rutbit -> 94(HAVREGRYN STORE GLUT) (0.3/s, ETA:89m)
  [134/1731] ? ann 27527: C:184 O:None G:None split Leksands Rutbit -> 184(EARL GREY TEA 200G T) (0.3/s, ETA:89m)
  [135/1731] ? ann 27740: C:184 O:250 G:None split Leksands Rutbit -> 184(EARL GREY TEA 200G T) (0.3/s, ETA:89m)
  [136/1731] ✓ ann 27741: C:250 O:250 G:None agree Leksands Rutbit -> 250(LEKSANDS KNEKKE NORM) (0.3/s, ETA:89m)
  [137/1731] ? ann 27904: C:302 O:None G:None split Leksands Rutbit -> 302(MELANGE MARGARIN 250) (0.3/s, ETA:89m)
  [138/1731] ✓ ann 28186: C:233 O:236 G:236 agree Leksands Rutbit -> 236(LEKSANDS KNEKKE RUTB) (0.3/s, ETA:89m)
  [139/1731] ✓ ann 28187: C:122 O:236 G:236 agree Leksands Rutbit -> 236(LEKSANDS KNEKKE RUTB) (0.3/s, ETA:89m)
  [140/1731] ? ann 28705: C:250 O:233 G:None split Leksands Rutbit -> 250(LEKSANDS KNEKKE NORM) (0.3/s, ETA:89m)
  [141/1731] ? ann 28706: C:250 O:None G:None split Leksands Rutbit -> 250(LEKSANDS KNEKKE NORM) (0.3/s, ETA:89m)
  [142/1731] ? ann 28711: C:250 O:207 G:None split Leksands Rutbit -> 250(LEKSANDS KNEKKE NORM) (0.3/s, ETA:89m)
  [143/1731] ✓ ann 28808: C:233 O:233 G:None agree Leksands Rutbit -> 233(LEKSANDS KNEKKE GODT) (0.3/s, ETA:89m)
  [144/1731] ✓ ann 28809: C:233 O:233 G:None agree Leksands Rutbit -> 233(LEKSANDS KNEKKE GODT) (0.3/s, ETA:89m)
  [145/1731] ✓ ann 29257: C:122 O:284 G:284 agree LEKSANDS KNEKKE GODT STEK -> 284(MELLOMBAR KOKOS&SJOK) (0.3/s, ETA:89m)
  [146/1731] ? ann 29288: C:110 O:None G:None split Leksands Rutbit -> 110(BREMYKT 250G) (0.3/s, ETA:89m)
  [147/1731] ? ann 29289: C:110 O:None G:None split Leksands Rutbit -> 110(BREMYKT 250G) (0.3/s, ETA:89m)
  [148/1731] ? ann 29291: C:211 O:None G:None split Leksands Rutbit -> 211(BJØRN HAVREMEL 1KG A) (0.3/s, ETA:89m)
  [149/1731] ? ann 29377: C:283 O:None G:None split Leksands Rutbit -> 283(GÅRDSEGG M/L 12STK E) (0.3/s, ETA:89m)
  [150/1731] ? ann 29378: C:199 O:None G:None split Leksands Rutbit -> 199(GREEN CEYLON TE ØKOL) (0.3/s, ETA:89m)
  [151/1731] ? ann 29379: C:184 O:None G:None split Leksands Rutbit -> 184(EARL GREY TEA 200G T) (0.3/s, ETA:89m)
  [152/1731] ? ann 30222: C:234 O:None G:211 split Leksands Rutbit -> 234(LANO SÅPE 2X125G) (0.3/s, ETA:89m)
  [153/1731] ✓ ann 30411: C:226 O:226 G:None agree Leksands Rutbit -> 226(LEKSANDS TREKANT HAV) (0.3/s, ETA:89m)
  [154/1731] ? ann 30412: C:184 O:None G:None split Leksands Rutbit -> 184(EARL GREY TEA 200G T) (0.3/s, ETA:89m)
  [155/1731] ? ann 30413: C:211 O:None G:None split Leksands Rutbit -> 211(BJØRN HAVREMEL 1KG A) (0.3/s, ETA:90m)
  [156/1731] ? ann 30414: C:184 O:None G:None split Leksands Rutbit -> 184(EARL GREY TEA 200G T) (0.3/s, ETA:89m)
  [157/1731] ? ann 30615: C:184 O:None G:None split Leksands Rutbit -> 184(EARL GREY TEA 200G T) (0.3/s, ETA:89m)
  [158/1731] ? ann 30616: C:211 O:None G:None split Leksands Rutbit -> 211(BJØRN HAVREMEL 1KG A) (0.3/s, ETA:89m)
  [159/1731] ? ann 30617: C:234 O:None G:None split Leksands Rutbit -> 234(LANO SÅPE 2X125G) (0.3/s, ETA:89m)
  [160/1731] ? ann 31088: C:283 O:None G:None split Leksands Rutbit -> 283(GÅRDSEGG M/L 12STK E) (0.3/s, ETA:89m)
  [161/1731] ✓ ann 31089: C:233 O:233 G:233 agree Leksands Rutbit -> 233(LEKSANDS KNEKKE GODT) (0.3/s, ETA:89m)
  [162/1731] ✓ ann 31614: C:184 O:207 G:207 agree Leksands Rutbit -> 207(LEKSANDS KNEKKE FIBE) (0.3/s, ETA:89m)
  [163/1731] ? ann 31615: C:184 O:207 G:None split Leksands Rutbit -> 184(EARL GREY TEA 200G T) (0.3/s, ETA:89m)
  [164/1731] ? ann 31616: C:184 O:207 G:None split Leksands Rutbit -> 184(EARL GREY TEA 200G T) (0.3/s, ETA:89m)
  [165/1731] ? ann 31617: C:184 O:207 G:None split Leksands Rutbit -> 184(EARL GREY TEA 200G T) (0.3/s, ETA:90m)
  [166/1731] ? ann 31665: C:233 O:207 G:None split Leksands Rutbit -> 233(LEKSANDS KNEKKE GODT) (0.3/s, ETA:90m)
  [167/1731] ✓ ann 31666: C:236 O:236 G:236 agree Leksands Rutbit -> 236(LEKSANDS KNEKKE RUTB) (0.3/s, ETA:90m)
  [168/1731] ✓ ann 32152: C:184 O:207 G:207 agree Leksands Rutbit -> 207(LEKSANDS KNEKKE FIBE) (0.3/s, ETA:90m)
  [169/1731] ✓ ann 32153: C:184 O:207 G:207 agree Leksands Rutbit -> 207(LEKSANDS KNEKKE FIBE) (0.3/s, ETA:91m)
  [170/1731] ? ann 32154: C:184 O:None G:207 split Leksands Rutbit -> 184(EARL GREY TEA 200G T) (0.3/s, ETA:91m)
  [171/1731] ? ann 32267: C:212 O:None G:None split Leksands Rutbit -> 212(KNEKKEBRØD 220G SIGD) (0.3/s, ETA:91m)
  [172/1731] ✓ ann 32549: C:233 O:233 G:None agree Leksands Rutbit -> 233(LEKSANDS KNEKKE GODT) (0.3/s, ETA:91m)
  [173/1731] ? ann 33260: C:283 O:None G:None split Leksands Rutbit -> 283(GÅRDSEGG M/L 12STK E) (0.3/s, ETA:91m)
  [174/1731] ? ann 33480: C:233 O:94 G:302 split Leksands Rutbit -> 233(LEKSANDS KNEKKE GODT) (0.3/s, ETA:91m)
  [175/1731] ? ann 33484: C:212 O:233 G:None split Leksands Rutbit -> 212(KNEKKEBRØD 220G SIGD) (0.3/s, ETA:92m)
  [176/1731] ? ann 33942: C:94 O:None G:None split Leksands Rutbit -> 94(HAVREGRYN STORE GLUT) (0.3/s, ETA:91m)
  [177/1731] ✓ ann 34111: C:226 O:226 G:None agree Leksands Rutbit -> 226(LEKSANDS TREKANT HAV) (0.3/s, ETA:91m)
  [178/1731] ? ann 34227: C:94 O:None G:233 split Leksands Rutbit -> 94(HAVREGRYN STORE GLUT) (0.3/s, ETA:91m)
  [179/1731] ? ann 34299: C:184 O:233 G:None split Leksands Rutbit -> 184(EARL GREY TEA 200G T) (0.3/s, ETA:91m)
