Loading data...
Resumed from checkpoint: 5310 already processed
Total candidates: 6377, to process: 1067
  [5396/6377] ✗ ann 14349 C:N O:N G:N = mismatch (0.4/s, ETA:46m) MUSLI BLÅBÆR 630G AXA
  [5397/6377] ✓ ann   369 C:Y O:Y G:Y = match    (0.4/s, ETA:46m) EVERGOOD CLASSIC KOKMALT 250G
  [5398/6377] ✓ ann  6155 C:N O:Y G:Y = match    (0.4/s, ETA:46m) SOLBÆR TE 25POS TWININGS
  [5399/6377] ✗ ann 10972 C:N O:Y G:N = mismatch (0.4/s, ETA:46m) CHEERIOS HAVRE 375G NESTLE
  [5400/6377] ✓ ann  8263 C:Y O:Y G:Y = match    (0.4/s, ETA:46m) EGG FRITTGÅENDE 18STK S/M FIRST PRI
  [5401/6377] ✗ ann 17460 C:N O:N G:N = mismatch (0.4/s, ETA:46m) CHEERIOS HAVRE 375G NESTLE
  [5402/6377] ✓ ann 21846 C:Y O:Y G:Y = match    (0.4/s, ETA:46m) HAVRE KNEKKEBRØD 300G WASA
  [5403/6377] ✗ ann 28807 C:N O:Y G:N = mismatch (0.4/s, ETA:46m) MELLOMBAR SUKKERFRI M/SJOKO 138G
  [5404/6377] ✓ ann 32195 C:N O:Y G:Y = match    (0.4/s, ETA:46m) RYVITA KNEKKEBRØD RUG 400G
  [5405/6377] ✓ ann 34157 C:Y O:Y G:Y = match    (0.4/s, ETA:46m) HAVRE KNEKKEBRØD 300G WASA
  [5406/6377] ✓ ann  7906 C:Y O:N G:Y = match    (0.4/s, ETA:46m) EGG FRITTGÅENDE M/L/XL SOLEGG 6STK 
  [5407/6377] ✓ ann 33787 C:Y O:N G:Y = match    (0.4/s, ETA:46m) FLATBRØD MORS
  [5408/6377] ✗ ann 18228 C:N O:N G:N = mismatch (0.4/s, ETA:46m) CHEERIOS HAVRE 375G NESTLE
  [5409/6377] ✓ ann 18743 C:Y O:N G:Y = match    (0.4/s, ETA:46m) RYVITA KNEKKEBRØD RUG 400G
  [5410/6377] ✓ ann 18746 C:Y O:Y G:Y = match    (0.4/s, ETA:46m) HAVRE KNEKKEBRØD 300G WASA
  [5411/6377] ✓ ann 20597 C:Y O:Y G:Y = match    (0.4/s, ETA:45m) HUSMAN KNEKKEBRØD 520G WASA
  [5412/6377] ✓ ann 20600 C:Y O:Y G:Y = match    (0.4/s, ETA:45m) HUSMAN KNEKKEBRØD 260G WASA
  [5413/6377] ✗ ann   472 C:Y O:N G:N = mismatch (0.4/s, ETA:45m) EARL GREY TEA 25POS TWININGS
  [5414/6377] ✓ ann   641 C:Y O:N G:Y = match    (0.4/s, ETA:45m) EVERGOOD KOFFEINFRI FILTERMALT 250G
  [5415/6377] ✓ ann 18442 C:Y O:N G:Y = match    (0.4/s, ETA:45m) MUSLI ENERGI 675G AXA
  [5416/6377] ✗ ann  8624 C:Y O:N G:N = mismatch (0.4/s, ETA:45m) GÅRDSEGG M/L 12STK ELDORADO
  [5417/6377] ✓ ann 32789 C:Y O:Y G:Y = match    (0.4/s, ETA:45m) LEKSANDS KNEKKE NORMALT STEKT 200G
  [5418/6377] ✓ ann 27127 C:Y O:Y G:Y = match    (0.4/s, ETA:45m) HAVREKNEKKEBRØD TYNT 265G WASA
  [5419/6377] ✓ ann 28335 C:Y O:N G:Y = match    (0.4/s, ETA:45m) KNEKKEBRØD SPORT+ 210G WASA
  [5420/6377] ✓ ann 25375 C:N O:Y G:Y = match    (0.4/s, ETA:45m) KNEKKEBRØD RUNDA SESAM&HAVSALT 290G
  [5421/6377] ✗ ann  3523 C:Y O:N G:N = mismatch (0.4/s, ETA:44m) NESCAFE GULL 100G REFILL
  [5422/6377] ✓ ann  7096 C:Y O:Y G:Y = match    (0.4/s, ETA:44m) EVERGOOD CLASSIC FILTERMALT 250G
  [5423/6377] ✗ ann 11477 C:N O:N G:N = mismatch (0.4/s, ETA:44m) CHEERIOS HAVRE 375G NESTLE
  [5424/6377] ✓ ann 19249 C:Y O:Y G:Y = match    (0.4/s, ETA:44m) HAVRE KNEKKEBRØD 300G WASA
  [5425/6377] ✓ ann   543 C:Y O:Y G:Y = match    (0.4/s, ETA:44m) EVERGOOD CLASSIC KAFFEKAPSEL 10STK
  [5426/6377] ✗ ann   838 C:N O:N G:N = mismatch (0.4/s, ETA:45m) GRANDE INTENSO 16KAPSLER DOLCE GUST
  [5427/6377] ✗ ann  2851 C:N O:N G:N = mismatch (0.4/s, ETA:45m) GRØNN TE 20POS LIPTON
  [5428/6377] ✗ ann  7804 C:Y O:N G:N = mismatch (0.4/s, ETA:44m) EGG FRITTGÅENDE M/L/XL SOLEGG 12STK
  [5429/6377] ✗ ann 27337 C:Y O:N G:N = mismatch (0.4/s, ETA:45m) KNEKKEBRØD 100 FRØ&HAVSALT 245G WAS
  [5430/6377] ✗ ann 18306 C:N O:N G:N = mismatch (0.4/s, ETA:45m) MUSLI ENERGI 675G AXA
  [5431/6377] ✗ ann 20445 C:Y O:N G:N = mismatch (0.4/s, ETA:44m) MELBATOAST RUND 110G MEULEN
  [5432/6377] ✓ ann 23722 C:N O:Y G:Y = match    (0.4/s, ETA:44m) LEKSANDS KNEKKE GODT STEKT 200G
  [5433/6377] ✓ ann 25149 C:Y O:N G:Y = match    (0.4/s, ETA:44m) MELLOMBAR SOMMERVIBBER 138G ELDORAD
  [5434/6377] ✓ ann 25393 C:Y O:N G:Y = match    (0.4/s, ETA:44m) KNEKKEBRØD DIN STUND CHIA&HAVSALT 2
  [5435/6377] ✓ ann 26498 C:Y O:Y G:Y = match    (0.4/s, ETA:44m) KNEKKEBRØD SPORT+ 210G WASA
  [5436/6377] ✓ ann 32814 C:Y O:Y G:Y = match    (0.4/s, ETA:44m) KNEKKEBRØD 100 FRØ&HAVSALT 245G WAS
  [5437/6377] ✓ ann 21649 C:Y O:Y G:Y = match    (0.4/s, ETA:44m) HUSMAN KNEKKEBRØD 260G WASA
  [5438/6377] ✓ ann 26991 C:Y O:N G:Y = match    (0.4/s, ETA:44m) KNEKKEBRØD SPORT+ 210G WASA
  [5439/6377] ✓ ann   433 C:Y O:Y G:Y = match    (0.4/s, ETA:44m) EVERGOOD CLASSIC FILTERMALT 250G
  [5440/6377] ✓ ann 26976 C:Y O:N G:Y = match    (0.4/s, ETA:44m) HAVRE KNEKKEBRØD 300G WASA
  [5441/6377] ✓ ann 31598 C:Y O:Y G:Y = match    (0.4/s, ETA:43m) KNEKKEBRØD SPORT+ 210G WASA
  [5442/6377] ✗ ann 15503 C:Y O:N G:N = mismatch (0.4/s, ETA:43m) CHEERIOS MULTI 375G NESTLE
  [5443/6377] ✗ ann 17327 C:N O:N G:N = mismatch (0.4/s, ETA:43m) CHEERIOS HAVRE 375G NESTLE
  [5444/6377] ✓ ann 19398 C:Y O:Y G:Y = match    (0.4/s, ETA:43m) FIBER BALANCE 230G WASA
  [5445/6377] ✓ ann 19501 C:Y O:N G:Y = match    (0.4/s, ETA:43m) FIBER BALANCE 230G WASA
  [5446/6377] ✓ ann  2924 C:Y O:Y G:Y = match    (0.4/s, ETA:43m) EVERGOOD DARK ROAST PRESSMALT 250G
  [5447/6377] ✓ ann 26143 C:Y O:Y G:Y = match    (0.4/s, ETA:43m) HAVREKNEKKEBRØD TYNT 265G WASA
  [5448/6377] ✓ ann 28846 C:Y O:N G:Y = match    (0.4/s, ETA:43m) HUSMAN KNEKKEBRØD 260G WASA
  [5449/6377] ✓ ann 27030 C:Y O:N G:Y = match    (0.4/s, ETA:43m) 4-KORN 675G AXA
  [5450/6377] ✗ ann 18407 C:N O:N G:N = mismatch (0.4/s, ETA:43m) CHEERIOS HAVRE 375G NESTLE
  [5451/6377] ✓ ann 21539 C:Y O:Y G:Y = match    (0.4/s, ETA:43m) HAVRE KNEKKEBRØD 300G WASA
  [5452/6377] ✓ ann 25197 C:Y O:Y G:Y = match    (0.4/s, ETA:43m) HAVRE KNEKKEBRØD 300G WASA
  [5453/6377] ✗ ann  3730 C:N O:N G:N = mismatch (0.4/s, ETA:43m) EVERGOOD DARK ROAST HELE BØNNER 500
  [5454/6377] ✗ ann 12453 C:Y O:N G:N = mismatch (0.4/s, ETA:43m) CHEERIOS MULTI 375G NESTLE
  [5455/6377] ✓ ann  1314 C:Y O:Y G:Y = match    (0.4/s, ETA:43m) EVERGOOD DARK ROAST HELE BØNNER 500
  [5456/6377] ✓ ann  1447 C:Y O:N G:Y = match    (0.4/s, ETA:43m) EVERGOOD KOFFEINFRI FILTERMALT 250G
  [5457/6377] ✓ ann  7733 C:Y O:Y G:N = match    (0.4/s, ETA:43m) EGG FRITTGÅENDE M/L 6PK PRIOR
  [5458/6377] ✗ ann  8758 C:Y O:N G:N = mismatch (0.4/s, ETA:43m) GÅRDSEGG M/L 12STK ELDORADO
  [5459/6377] ✗ ann 11295 C:N O:N G:N = mismatch (0.4/s, ETA:43m) CHEERIOS HAVRE 375G NESTLE
  [5460/6377] ✗ ann 18623 C:Y O:N G:N = mismatch (0.4/s, ETA:43m) LEKSANDS KNEKKE GODT STEKT 200G
  [5461/6377] ✓ ann  3986 C:Y O:Y G:Y = match    (0.4/s, ETA:42m) EVERGOOD CLASSIC FILTERMALT 250G
  [5462/6377] ✓ ann  5731 C:Y O:N G:Y = match    (0.4/s, ETA:42m) SJOKOLADEDRIKK LETT 10X14G RETT I K
  [5463/6377] ✓ ann 17977 C:Y O:N G:Y = match    (0.4/s, ETA:42m) SVARTHAVRERIS ØKOLOGISK DEN SORTE H
  [5464/6377] ✓ ann 19395 C:Y O:Y G:Y = match    (0.4/s, ETA:42m) FIBER BALANCE 230G WASA
  [5465/6377] ✓ ann 20057 C:Y O:Y G:Y = match    (0.4/s, ETA:42m) HUSMAN KNEKKEBRØD 260G WASA
  [5466/6377] ✓ ann 28781 C:Y O:Y G:N = match    (0.4/s, ETA:42m) FRUKOST FULLKORN 320G WASA
  [5467/6377] ✓ ann  7845 C:Y O:Y G:Y = match    (0.4/s, ETA:42m) MELANGE MARGARIN 500G
  [5468/6377] ✓ ann 17501 C:N O:Y G:Y = match    (0.4/s, ETA:42m) SUPERGRØT SKOGSBÆR 57G BARE BRA
  [5469/6377] ✗ ann 13479 C:N O:N G:Y = mismatch (0.4/s, ETA:42m) NESQUIK FROKOSTBLANDING 375G NESTLE
  [5470/6377] ✓ ann 24817 C:Y O:N G:Y = match    (0.4/s, ETA:42m) HAVREKNEKKEBRØD TYNT 265G WASA
  [5471/6377] ✓ ann   547 C:Y O:N G:Y = match    (0.4/s, ETA:42m) EVERGOOD KOFFEINFRI FILTERMALT 250G
  [5472/6377] ✓ ann  5229 C:Y O:N G:Y = match    (0.4/s, ETA:42m) NESCAFE GULL 200G NESTLE
  [5473/6377] ✓ ann 27136 C:Y O:Y G:Y = match    (0.4/s, ETA:42m) HAVRE KNEKKEBRØD 300G WASA
  [5474/6377] ✓ ann 13081 C:Y O:Y G:N = match    (0.4/s, ETA:42m) CHEERIOS MULTI 375G NESTLE
  [5475/6377] ✗ ann 14453 C:N O:N G:N = mismatch (0.4/s, ETA:42m) CHEERIOS HAVRE 375G NESTLE
  [5476/6377] ✓ ann 25269 C:Y O:N G:Y = match    (0.4/s, ETA:42m) KORNMO KNEKKEBRØD HAVRE&SOLSIKKE 20
  [5477/6377] ✗ ann 10625 C:N O:N G:N = mismatch (0.4/s, ETA:42m) FITNESS FROKOST 375G NESTLE
  [5478/6377] ✗ ann 13856 C:N O:N G:N = mismatch (0.4/s, ETA:42m) CHEERIOS HAVRE 375G NESTLE
  [5479/6377] ✓ ann 17963 C:Y O:N G:Y = match    (0.4/s, ETA:42m) RIS PUFFET 260G FIRST PRICE
  [5480/6377] ✓ ann 18261 C:N O:Y G:Y = match    (0.4/s, ETA:42m) SUPERGRØT KANEL&PUFFET QUINOA 54G
  [5481/6377] ✓ ann 32230 C:Y O:Y G:Y = match    (0.4/s, ETA:41m) HAVREKNEKKEBRØD TYNT 265G WASA
  [5482/6377] ✓ ann  2570 C:Y O:N G:Y = match    (0.4/s, ETA:41m) EVERGOOD CLASSIC KOKMALT 250G
  [5483/6377] ✓ ann  1053 C:Y O:Y G:Y = match    (0.4/s, ETA:41m) EVERGOOD DARK ROAST PRESSMALT 250G
  [5484/6377] ✓ ann 13817 C:Y O:Y G:Y = match    (0.4/s, ETA:41m) 4-KORN 675G AXA
  [5485/6377] ✓ ann 19156 C:Y O:Y G:Y = match    (0.4/s, ETA:41m) HAVRE KNEKKEBRØD 300G WASA
  [5486/6377] ✗ ann 18320 C:Y O:N G:N = mismatch (0.4/s, ETA:41m) BERIT GRANOLA M/PUFFET HAVRE 350G
  [5487/6377] ✓ ann 20845 C:Y O:Y G:Y = match    (0.4/s, ETA:41m) HUSMAN KNEKKEBRØD 260G WASA
  [5488/6377] ✓ ann 28149 C:Y O:Y G:Y = match    (0.4/s, ETA:41m) KNEKKEBRØD 100 FRØ&HAVSALT 245G WAS
  [5489/6377] ✓ ann 18021 C:Y O:Y G:Y = match    (0.4/s, ETA:41m) SUPERGRØT SKOGSBÆR 57G BARE BRA
  [5490/6377] ✓ ann 21774 C:Y O:N G:Y = match    (0.4/s, ETA:41m) KNEKKEBRØD 100 FRØ&HAVSALT 245G WAS
  [5491/6377] ✓ ann  1323 C:Y O:Y G:Y = match    (0.4/s, ETA:40m) EVERGOOD CLASSIC KOKMALT 250G
  [5492/6377] ✓ ann 21577 C:Y O:N G:Y = match    (0.4/s, ETA:40m) KNEKKEBRØD RUNDA SESAM&HAVSALT 290G
  [5493/6377] ✓ ann 26277 C:Y O:N G:Y = match    (0.4/s, ETA:40m) FLATBRØD MORS HJEMMEBAKTE 520G
  [5494/6377] ✗ ann 32341 C:Y O:N G:N = mismatch (0.4/s, ETA:40m) KNEKKEBRØD 100 FRØ&HAVSALT 245G WAS
  [5495/6377] ✗ ann 16374 C:N O:N G:N = mismatch (0.4/s, ETA:40m) RIS PUFFET 260G FIRST PRICE
