category_id,change_type,confidence,annotation_count,our_name,our_code,kassal_name,kassal_names_all,off_name,name_similarity,kassal_found,kassal_stores,kassal_price,kassal_image_url,discontinued,proposed_name,proposed_code,recommendation
336,name_update,medium,19,SVARTHAVRERIS ØKOLOGISK DEN SORTE HAVRE,7090037971551,Havreris Økologisk 500g Den Sorte Havre,Havreris Økologisk 500g Den Sorte Havre | Havreris økologisk,,0.8718,True,"Meny, Joker, Slowly.no",49,https://bilder.ngdata.no/7090037971551/meny/large.jpg,False,Havreris Økologisk 500g Den Sorte Havre,7090037971551,"Minor name difference (sim=0.87). Kassal: ""Havreris Økologisk 500g Den Sorte Havre"". Consider updating."
247,name_update,medium,13,MOUNT KENYA FILTERMALT 200G JACOBS,7040913336912,Mount Kenya Filtermalt 200g Jacobs Utvalgte,Mount Kenya Filtermalt 200g Jacobs Utvalgte | Jacobs Utvalgte Mount Kenya Filtermalt 200g Kaffe,Mount Kenya Filtermalt 200g Jacobs Utvalgte,0.8831,True,"SPAR, Meny, Joker, KIWI",59.9,https://bilder.ngdata.no/7040913336912/kmh/large.jpg,False,Mount Kenya Filtermalt 200g Jacobs Utvalgte,7040913336912,"Minor name difference (sim=0.88). Kassal: ""Mount Kenya Filtermalt 200g Jacobs Utvalgte"". Consider updating."
112,name_update,medium,5,ESPRESSO ITALIAN HELE BØNNER 500G JACOBS,7040913337001,Espresso Italian Hele Bønner 500g Jacobs Utvalgte,Espresso Italian Hele Bønner 500g Jacobs Utvalgte | ESPRESSO ITALIAN Hele bønner 500g jacobs utvalgte,,0.8989,True,"SPAR, Meny, Bunnpris, KIWI, Joker",147,https://bilder.ngdata.no/7040913337001/kmh/large.jpg,False,Espresso Italian Hele Bønner 500g Jacobs Utvalgte,7040913337001,"Minor name difference (sim=0.90). Kassal: ""Espresso Italian Hele Bønner 500g Jacobs Utvalgte"". Consider updating."
353,name_update,medium,5,EXCELSO COLOMBIA FILTERMALT 200G JACOBS,7040913336905,Excelso Colombia Filtermalt 200g Jacobs Utvalgte,Excelso Colombia Filtermalt 200g Jacobs Utvalgte | Jacobs Utvalgte Excelso Colombia Filtermalt 200g Kaffe,Excelso colombia,0.8966,True,"SPAR, Meny, Joker",99.9,https://bilder.ngdata.no/7040913336905/kmh/large.jpg,False,Excelso Colombia Filtermalt 200g Jacobs Utvalgte,7040913336905,"Minor name difference (sim=0.90). Kassal: ""Excelso Colombia Filtermalt 200g Jacobs Utvalgte"". Consider updating."
147,name_update,medium,4,ROOIBOS TE ØKOLOGISK 20PS,7039410000082,Rooibos Fairtrade Te Økologisk 20pk,Rooibos Fairtrade Te Økologisk 20pk | Rooibos Te Økologisk 20pos Confecta,,0.8333,True,"Coop, Meny, SPAR",43.9,https://bilder.ngdata.no/7039410000082/meny/large.jpg,False,Rooibos Te Økologisk 20pos Confecta,7039410000082,"Minor name difference (sim=0.83). Kassal: ""Rooibos Te Økologisk 20pos Confecta"". Consider updating."
161,name_update,medium,3,HAVRERINGER 250G SYNNØVE FINDEN,7071319034003,Havreringer glutenfri 250g Synnøve Finden,Havreringer glutenfri 250g Synnøve Finden,,0.8611,True,Meny,55.9,https://bilder.ngdata.no/7071319034003/meny/large.jpg,False,Havreringer glutenfri 250g Synnøve Finden,7071319034003,"Minor name difference (sim=0.86). Kassal: ""Havreringer glutenfri 250g Synnøve Finden"". Consider updating."
190,name_update,medium,2,EARL GREY TEA ØKOLOGISK 15POS JACOBS,7035620008542,Earl Grey Tea Økologisk 15pos Jacobs Utvalgte,Earl Grey Tea Økologisk 15pos Jacobs Utvalgte,Earl Grey Tea Økologisk 15pos Jacobs Utvalgte,0.8889,True,"Meny, KIWI, Joker, SPAR",43.9,https://bilder.ngdata.no/7035620008542/meny/large.jpg,False,Earl Grey Tea Økologisk 15pos Jacobs Utvalgte,7035620008542,"Minor name difference (sim=0.89). Kassal: ""Earl Grey Tea Økologisk 15pos Jacobs Utvalgte"". Consider updating."
167,name_update,medium,1,TROPISK AROMA FILTERMALT 200G JACOBS,7040913336882,Tropisk Aroma Filtermalt 200g Jacobs Utvalgte,Tropisk Aroma Filtermalt 200g Jacobs Utvalgte | Jacobs Utvalgte Tropisk Aroma Filtermalt 200g Kaffe,Tropisk Aroma Filtermalt 200g Jacobs Utvalgte,0.8889,True,"Meny, SPAR",81.9,https://bilder.ngdata.no/7040913336882/meny/large.jpg,False,Tropisk Aroma Filtermalt 200g Jacobs Utvalgte,7040913336882,"Minor name difference (sim=0.89). Kassal: ""Tropisk Aroma Filtermalt 200g Jacobs Utvalgte"". Consider updating."
115,name_update,medium,1,EXCELSO COLOMBIA HELE BØNNER 500G JACOBS,7040913336981,Excelso Colombia Hele Bønner 500g Jacobs Utvalgte,Excelso Colombia Hele Bønner 500g Jacobs Utvalgte,Excelso Colombia Hele Bønner 500g Jacobs Utvalgte,0.8989,True,"Meny, SPAR",189,https://bilder.ngdata.no/7040913336981/meny/large.jpg,False,Excelso Colombia Hele Bønner 500g Jacobs Utvalgte,7040913336981,"Minor name difference (sim=0.90). Kassal: ""Excelso Colombia Hele Bønner 500g Jacobs Utvalgte"". Consider updating."
86,name_confirmed,high,398,HAVRE KNEKKEBRØD 300G WASA,7300400130288,Havre Knekkebrød 300g Wasa,Havre Knekkebrød 300g Wasa | Wasa Havre 300g | Knekkebrød Havre 300 g | Wasa Knekkebrød Havre 300g | Havreknekkebrød,Havre,1.0,True,"Joker, SPAR, Coop, Meny, Oda, Engrosnett, KIWI, Slowly.no",23.3,https://bilder.ngdata.no/7300400130288/kmh/large.jpg,False,HAVRE KNEKKEBRØD 300G WASA,7300400130288,Name confirmed by Kassal (sim=1.00). No change needed.
109,name_confirmed,high,374,KNEKKEBRØD 100 FRØ&HAVSALT 245G WASA,7300400482165,Knekkebrød 100 Frø&Havsalt 245g Wasa,Knekkebrød 100 Frø&Havsalt 245g Wasa | Wasa 100 Frø & Havsalt 245g | Knekkebrød 100 Frø & Havsalt 245 g | WASA KNEKKEBRØD 100 245 g frø/havsalt | Wasa Knekkebrød 100 Frø & Havsalt 245g,Tunn 100,1.0,True,"Joker, SPAR, Meny, Coop, Oda, Bunnpris, KIWI",22.9,https://bilder.ngdata.no/7300400482165/kmh/large.jpg,False,KNEKKEBRØD 100 FRØ&HAVSALT 245G WASA,7300400482165,Name confirmed by Kassal (sim=1.00). No change needed.
100,name_confirmed,high,368,EVERGOOD CLASSIC FILTERMALT 250G,7040913336684,Evergood Classic Filtermalt 250g,Evergood Classic Filtermalt 250g | Kaffe filtermalt 250 g Evergood Classic | EVERGOOD CLASSIC 250 g filtermalt | Evergood Classic Filtermalt 6x250g Kaffe,Evergood Classic Filtermalt 250g,1.0,True,"Joker, SPAR, Meny, Europris, Bunnpris, KIWI",47.9,https://bilder.ngdata.no/7040913336684/kmh/large.jpg,False,EVERGOOD CLASSIC FILTERMALT 250G,7040913336684,Name confirmed by Kassal (sim=1.00). No change needed.
349,name_confirmed,high,364,KNEKKEBRØD SPORT+ 210G WASA,7300400482950,Knekkebrød Sport+ 210g Wasa,Knekkebrød Sport+ 210g Wasa | KNEKKEBRØD Sport+ 210g wasa | Wasa Knekkebrød Sport+ 210g,Sport+ knekkebrød,1.0,True,"Joker, SPAR, KIWI, Meny, Bunnpris",16.7,https://bilder.ngdata.no/7300400482950/kmh/large.jpg,False,KNEKKEBRØD SPORT+ 210G WASA,7300400482950,Name confirmed by Kassal (sim=1.00). No change needed.
246,name_confirmed,high,322,HUSMAN KNEKKEBRØD 260G WASA,7300400118415,Wasa Husmann Knekkebrød 260g,Wasa Husmann Knekkebrød 260g | Husman Knekkebrød 260g Wasa | Knekkebrød Husman 260 g | Wasa Knekkebrød Husman 260g,Husman,1.0,True,"Coop, Joker, SPAR, Meny, Oda, KIWI",13.7,https://bilder.ngdata.no/7300400118415/kmh/large.jpg,False,HUSMAN KNEKKEBRØD 260G WASA,7300400118415,Name confirmed by Kassal (sim=1.00). No change needed.
296,name_confirmed,high,309,FIBER BALANCE 230G WASA,7300400127004,Fiber Balance 230g Wasa,Fiber Balance 230g Wasa | Wasa Fiber Balance 230g | Knekkebrød Fiber Balance 230 g | Wasa Fiber Balance 230gr | FIBER BALANCE 230G Wasa | Wasa Knekkebrød Fiber Balance 230g,Fiber balance knekkebrød,1.0,True,"Joker, SPAR, Coop, Meny, Oda, Engrosnett, Bunnpris, KIWI",19.9,https://bilder.ngdata.no/7300400127004/kmh/large.jpg,False,FIBER BALANCE 230G WASA,7300400127004,Name confirmed by Kassal (sim=1.00). No change needed.
271,name_confirmed,high,307,FRUKOST KNEKKEBRØD 240G WASA,7300400248204,Frukost Knekkebrød 240g Wasa,Frukost Knekkebrød 240g Wasa | Wasa Frukost 240g | Knekkebrød Frukost 240 g | WASA FRUKOST KNEKKEBRØD 240 g | Wasa Knekkebrød Frukost 240g,Frukost knacke,1.0,True,"Joker, SPAR, Meny, Coop, Oda, Bunnpris, KIWI",15.9,https://bilder.ngdata.no/7300400248204/kmh/large.jpg,False,FRUKOST KNEKKEBRØD 240G WASA,7300400248204,Name confirmed by Kassal (sim=1.00). No change needed.
132,name_confirmed,high,300,FRUKOST FULLKORN 320G WASA,7300400120715,Frukost Fullkorn 320g Wasa,Frukost Fullkorn 320g Wasa | Wasa Frukost Fullkorn 320g | Knekkebrød Frukost Fullkorn 320 g | FRUKOST FULLKORN 320G Wasa | Wasa Knekkebrød Frukost Fullkorn 320g,Frukost Fullkorn,1.0,True,"Joker, SPAR, Meny, Coop, Oda, Engrosnett, Bunnpris, KIWI",15,https://bilder.ngdata.no/7300400120715/kmh/large.jpg,False,FRUKOST FULLKORN 320G WASA,7300400120715,Name confirmed by Kassal (sim=1.00). No change needed.
207,name_confirmed,high,297,LEKSANDS KNEKKE FIBERBIT 240G,7312080005749,Leksands Knekke Fiberbit 240g,Leksands Knekke Fiberbit 240g | LEKSANDS KNEKKE Fiberbit 240g,Fiberbit,1.0,True,"Meny, SPAR, Bunnpris",32.9,https://bilder.ngdata.no/7312080005749/meny/large.jpg,False,LEKSANDS KNEKKE FIBERBIT 240G,7312080005749,Name confirmed by Kassal (sim=1.00). No change needed.
307,name_confirmed,high,283,MAISKAKER OST 125G FRIGGS,7350028546879,Friggs Maiskaker Ost 125g,Friggs Maiskaker Ost 125g | Maiskaker Ost 125g Friggs | Friggs Maiskaker Ost 125 g | MAISKAKER OST 125 g friggs | Maiskaker - Ost,Mais kaker,1.0,True,"Coop, Meny, Oda, Bunnpris, KIWI, Joker, SPAR, Havaristen",15,https://bilder.ngdata.no/7350028546879/meny/large.jpg,False,MAISKAKER OST 125G FRIGGS,7350028546879,Name confirmed by Kassal (sim=1.00). No change needed.
250,name_confirmed,high,271,LEKSANDS KNEKKE NORMALT STEKT 200G,7312080004018,Leksands Knekkebrød Normalstekt 200g,"Leksands Knekkebrød Normalstekt 200g | Leksands Knekke Normalt Stekt 200g | Knekkebrød Normalt Stekt, 200 g | Leksand Knekke - Normalt Stekt",Leksandsknäcke Normalgräddat,1.0,True,"Coop, SPAR, Meny, Oda, KIWI, Joker, Havaristen",18,https://bilder.ngdata.no/7312080004018/kmh/large.jpg,False,LEKSANDS KNEKKE NORMALT STEKT 200G,7312080004018,Name confirmed by Kassal (sim=1.00). No change needed.
21,name_confirmed,high,271,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,7300400129459,Knekkebrød Runda Sesam&Havsalt 290g Wasa,Knekkebrød Runda Sesam&Havsalt 290g Wasa | Wasa Runda Sesam & Havsalt 290g | Knekkebrød Runda Sesam & Havsalt 290 g | Wasa Runda Sesam&Havsalt 290g | WASA KNEKKEBRØD RUNDA 290 g sesam/havsalt | Wasa Knekkebrød Runda Sesam&Havsalt 290g,Knekkebrød Runde Sesam & Havsalt,1.0,True,"Joker, SPAR, Coop, Meny, Oda, Engrosnett, Bunnpris, KIWI",33.9,https://bilder.ngdata.no/7300400129459/kmh/large.jpg,False,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,7300400129459,Name confirmed by Kassal (sim=1.00). No change needed.
38,name_confirmed,high,265,KNEKKEBRØD DIN STUND CHIA&HAVSALT 270G W,7300400482691,Knekkebrød Mini Din Stund 270 g,Knekkebrød Mini Din Stund 270 g | Knekkebrød Din Stund Chia&Havsalt 270g Wasa | Wasa Din Stund Mini Chia/Havsalt 270g | KNEKKEBRØD Din stund chia&havsalt 270g wasa | Wasa Knekkebrød Mini Din Stund Chia&Havsalt 270g,,0.9639,True,"Oda, SPAR, Meny, Coop, KIWI, Bunnpris, Joker",36.9,https://bilder.ngdata.no/7300400482691/kmh/large.jpg,False,KNEKKEBRØD DIN STUND CHIA&HAVSALT 270G W,7300400482691,Name confirmed by Kassal (sim=0.96). No change needed.
280,name_confirmed,high,262,RISKAKER 100G FIRST PRICE,7311041019689,Riskaker 100g First Price,Riskaker 100g First Price | RISKAKER 100 g First price,,1.0,True,"Joker, SPAR, Meny, Bunnpris, KIWI",10.9,https://bilder.ngdata.no/7311041019689/kmh/large.jpg,False,RISKAKER 100G FIRST PRICE,7311041019689,Name confirmed by Kassal (sim=1.00). No change needed.
233,name_confirmed,high,260,LEKSANDS KNEKKE GODT STEKT 200G,7312080004025,Leksands Knekke Godt Stekt 200g,"Leksands Knekke Godt Stekt 200g | Leksands Knekkebrød Godt Stekt 200g | Knekkebrød Godt Stekt, 200 g | Leksand Knekke - Godt Stekt | KNEKKEBRØD GODT STEKT 200 g Leksands",Leksands Gul Fuldkornsknækbrød,1.0,True,"Joker, SPAR, Coop, Meny, Oda, KIWI, Havaristen, Bunnpris",18,https://bilder.ngdata.no/7312080004025/kmh/large.jpg,False,LEKSANDS KNEKKE GODT STEKT 200G,7312080004025,Name confirmed by Kassal (sim=1.00). No change needed.
92,name_confirmed,high,247,KNEKKEBRØD GODT FOR DEG 235G SIGDAL,7071848024124,Knekkebrød Godt for Deg 235g Sigdal,Knekkebrød Godt for Deg 235g Sigdal | KNEKKEBRØD Godt for deg 235 g Sigdal | Knekkebrød Godt For Deg 235g,Knekkebrød Godt for Deg 235g Sigdal,1.0,True,"SPAR, Meny, Joker, Bunnpris, KIWI",36.33,https://bilder.ngdata.no/7071848024124/kmh/large.jpg,False,KNEKKEBRØD GODT FOR DEG 235G SIGDAL,7071848024124,Name confirmed by Kassal (sim=1.00). No change needed.
96,name_confirmed,high,247,FLATBRØD 275G KORNI,7045910003041,Flatbrød 275g Korni,Flatbrød 275g Korni | Korni Flatbrød 275 g | Korni Flatbrød 275g | KORNI FLATBRØD 275 g | Korni Flatbrød 1/3pl | Korni Flatbrød Pk 275g Kavli,Flatbrød,1.0,True,"Joker, SPAR, Meny, Oda, Coop, Bunnpris, KIWI",19.9,https://bilder.ngdata.no/7045910003041/kmh/large.jpg,False,FLATBRØD 275G KORNI,7045910003041,Name confirmed by Kassal (sim=1.00). No change needed.
80,name_confirmed,high,243,FROKOSTEGG FRITTGÅENDE L 12STK PRIOR,7039610000318,Frokostegg Frittgående L 12stk Prior,"Frokostegg Frittgående L 12stk Prior | Frokostegg fra frittgående høner Str L, 12 stk | Egg 12stk l Frokostegg Frittgående 63-73g | Egg 12 l Frokostegg Frg 168x12 Display",Frokostegg,1.0,True,"Joker, SPAR, Oda, Meny, KIWI",29.9,https://bilder.ngdata.no/7039610000318/kmh/large.jpg,False,FROKOSTEGG FRITTGÅENDE L 12STK PRIOR,7039610000318,Name confirmed by Kassal (sim=1.00). No change needed.
239,name_confirmed,high,240,MAISKAKER CHIA/HAVSALT 130G FRIGGS,7350028543762,Maiskaker Chia/Havsalt 130g Friggs,Maiskaker Chia/Havsalt 130g Friggs | Maiskaker Chia & Havsalt 130 g | Friggs Maiskaker Chia Havsalt 130g | MAISKAKER CHIA/HAVS. FRIGGES 130 G | Friggs Maiskaker Chia/havsalt 130g | Maiskaker med Chiafrø og Havsalt | Maiskjeks Chia og havsalt,CHIAFRÖ & HAVSSALT,1.0,True,"SPAR, Meny, Oda, Coop, Bunnpris, KIWI, Joker, Havaristen, Slowly.no",14.9,https://bilder.ngdata.no/7350028543762/kmh/large.jpg,False,MAISKAKER CHIA/HAVSALT 130G FRIGGS,7350028543762,Name confirmed by Kassal (sim=1.00). No change needed.
171,name_confirmed,high,231,ALI ORIGINAL FILTERMALT 250G,7040913336639,Ali Original Filtermalt 250g,Ali Original Filtermalt 250g | Ali original 250 g filtermalt | ALI ORIGINAL 250 g filtermalt,Ali Original Filtermalt 250g,1.0,True,"Joker, SPAR, Meny, Europris, Bunnpris, KIWI",39.9,https://bilder.ngdata.no/7040913336639/kmh/large.jpg,False,ALI ORIGINAL FILTERMALT 250G,7040913336639,Name confirmed by Kassal (sim=1.00). No change needed.
52,name_confirmed,high,227,RUGSPRØ 200G WASA,7300400101332,Rugsprø 200g Wasa,Rugsprø 200g Wasa | Wasa Rugsprø 200g | WASA RUGSPRØ 200 g | Wasa Knekkebrød Rugsprø 18x200g | Rugsprø,Wasa Rugsprø,1.0,True,"Joker, SPAR, Meny, Coop, Bunnpris, KIWI, Slowly.no",12.5,https://bilder.ngdata.no/7300400101332/kmh/large.jpg,False,RUGSPRØ 200G WASA,7300400101332,Name confirmed by Kassal (sim=1.00). No change needed.
275,name_confirmed,high,223,EGG FRITTGÅENDE 18STK S/M FIRST PRICE,7035620053573,Egg Frittgående 18stk S/M First Price,Egg Frittgående 18stk S/M First Price,Egg fra frittgående høner,1.0,True,"KIWI, Meny, SPAR, Joker",39.9,https://bilder.ngdata.no/7035620053573/kiwi/large.jpg,False,EGG FRITTGÅENDE 18STK S/M FIRST PRICE,7035620053573,Name confirmed by Kassal (sim=1.00). No change needed.
345,name_confirmed,high,223,KNEKKEBRØD URTER&HAVSALT 220G SIGDAL,7071848004492,Knekkebrød Urter&Havsalt 220g Sigdal,Knekkebrød Urter&Havsalt 220g Sigdal | SIGDAL KNEKKEBRØD 220 g Urter/havsalt | Knekkebrød Urter Havsalt 220g | 1/3 Pall Urter Havsalt,Knekkebrød,1.0,True,"Joker, SPAR, Meny, Bunnpris, KIWI",37.03,https://bilder.ngdata.no/7071848004492/kmh/large.jpg,False,KNEKKEBRØD URTER&HAVSALT 220G SIGDAL,7071848004492,Name confirmed by Kassal (sim=1.00). No change needed.
82,name_confirmed,high,205,FRØ & HAVSALT 200G LEKSANDS,7312080004278,Frø & Havsalt 200g Leksands,Frø & Havsalt 200g Leksands | Knekkebrød - Frø & Havsalt | FRØ & HAVSALT 200g leksands,,1.0,True,"Meny, Havaristen, SPAR, Bunnpris",19,https://bilder.ngdata.no/7312080004278/meny/large.jpg,False,FRØ & HAVSALT 200G LEKSANDS,7312080004278,Name confirmed by Kassal (sim=1.00). No change needed.
243,name_confirmed,high,198,RYVITA KNEKKEBRØD RUG 400G,5010265000405,Ryvita Knekkebrød Rug 400g,"Ryvita Knekkebrød Rug 400g | Ryvita Rug Knekkebrød 400g | Ryvita Rug Knekkebrød, 400 g | Ryvita Mørkt 400g | RYVITA RUG KNEKKEBRØD 400 g",Ryvita Dark Rye,1.0,True,"Joker, SPAR, Meny, Coop, Oda, Engrosnett, Bunnpris, KIWI",35,https://bilder.ngdata.no/5010265000405/kmh/large.jpg,False,RYVITA KNEKKEBRØD RUG 400G,5010265000405,Name confirmed by Kassal (sim=1.00). No change needed.
188,name_confirmed,high,195,MAISKAKER POPCORN 125G FRIGGS,7350028547548,Friggs Maiskake Popcorn 125g,Friggs Maiskake Popcorn 125g | Maiskaker Popcorn 125g Friggs | Friggs Maiskake Popcorn 125g 125 g | Maiskaker - Popcorn,mais kaker popcorn,1.0,True,"Coop, Meny, Oda, SPAR, Joker, KIWI, Havaristen",15,https://bilder.ngdata.no/7350028547548/meny/large.jpg,False,MAISKAKER POPCORN 125G FRIGGS,7350028547548,Name confirmed by Kassal (sim=1.00). No change needed.
29,name_confirmed,high,192,NESQUIK FROKOSTBLANDING 375G NESTLE,5011476103053,Nesquik Frokostblanding 375g Nestle,Nesquik Frokostblanding 375g Nestle | Nesquik Frokostblanding 375g | Nesquik frokostblanding 375 g | NESQUIK FROKOSTBLANDING 375 g nestle | Frokostblanding Nesquik,Nesquik Frokostblanding 375g Nestle,1.0,True,"Joker, SPAR, Meny, Coop, Oda, Bunnpris, KIWI, Havaristen",15,https://bilder.ngdata.no/5011476103053/kmh/large.jpg,False,NESQUIK FROKOSTBLANDING 375G NESTLE,5011476103053,Name confirmed by Kassal (sim=1.00). No change needed.
181,name_confirmed,high,190,CHEERIOS HAVRE 375G NESTLE,5900020037046,Cheerios Havre 375g Nestle,Cheerios Havre 375g Nestle | Havre Cheerios 375g | Cheerios Havre 375 g | CHEERIOS HAVRE 375g nestle,,1.0,True,"Joker, SPAR, Meny, Coop, Oda, Bunnpris, KIWI",39.4,https://bilder.ngdata.no/5900020037046/kmh/large.jpg,False,CHEERIOS HAVRE 375G NESTLE,5900020037046,Name confirmed by Kassal (sim=1.00). No change needed.
97,name_confirmed,high,190,CHEERIOS MULTI 375G NESTLE,5011476102957,Cheerios Multi 375g Nestle,Cheerios Multi 375g Nestle | Multi Cheerios 375g | Cheerios Multigrain frokostblanding 375 g | MULTI CHEERIOS 375 g | Multi Cheerios 1/2 Pall,,1.0,True,"Joker, SPAR, Meny, Coop, Oda, Bunnpris, KIWI",36.6,https://bilder.ngdata.no/5011476102957/kmh/large.jpg,False,CHEERIOS MULTI 375G NESTLE,5011476102957,Name confirmed by Kassal (sim=1.00). No change needed.
236,name_confirmed,high,187,LEKSANDS KNEKKE RUTBIT 200G,7312080005756,Leksands Knekke Rutbit 200g,Leksands Knekke Rutbit 200g | LEKSANDS KNEKKE Rutbit 200g,RUT BIT NORMALGRÄDDAT,1.0,True,"Meny, SPAR, Bunnpris",20,https://bilder.ngdata.no/7312080005756/meny/large.jpg,False,LEKSANDS KNEKKE RUTBIT 200G,7312080005756,Name confirmed by Kassal (sim=1.00). No change needed.
152,name_confirmed,high,185,HAVREKNEKKEBRØD TYNT 265G WASA,7300400482585,Knekkebrød Tynn Havre 225 g,Knekkebrød Tynn Havre 225 g | Havreknekkebrød Tynt 265g Wasa | Wasa Tynn Havre 265g | Wasa Knekkebrød Tynn Havre 265g,,1.0,True,"Oda, SPAR, Meny, Coop, KIWI",28.9,https://bilder.ngdata.no/7300400482585/kmh/large.jpg,False,HAVREKNEKKEBRØD TYNT 265G WASA,7300400482585,Name confirmed by Kassal (sim=1.00). No change needed.
34,name_confirmed,high,181,SMACKS 330G KELLOGG'S,5053827202732,Smacks 330g Kellogg's,Smacks 330g Kellogg's | Smacks 330g Kellogg`s | SMACKS 330g kellogg s,,1.0,True,"SPAR, Meny, Europris, Bunnpris, Joker",25,https://bilder.ngdata.no/5053827202732/kmh/large.jpg,False,SMACKS 330G KELLOGG'S,5053827202732,Name confirmed by Kassal (sim=1.00). No change needed.
