ann_id,image_id,category_id,category_name,hamming_dist,reason,bbox
5833,54,1,COFFEE MATE 180G  NESTLE,0.5312,Visual outlier: Hamming dist 0.531 > threshold 0.45,"[1261, 62, 39, 30]"
5832,54,1,COFFEE MATE 180G  NESTLE,0.5039,Visual outlier: Hamming dist 0.504 > threshold 0.45,"[1174, 62, 43, 29]"
5831,54,1,COFFEE MATE 180G  NESTLE,0.5,Visual outlier: Hamming dist 0.500 > threshold 0.45,"[1217, 62, 41, 29]"
4035,36,1,COFFEE MATE 180G  NESTLE,0.4844,Visual outlier: Hamming dist 0.484 > threshold 0.45,"[2808, 554, 148, 95]"
374,4,1,COFFEE MATE 180G  NESTLE,0.4688,Visual outlier: Hamming dist 0.469 > threshold 0.45,"[1737, 30, 102, 92]"
32092,361,3,KNEKKEBRØD DIN STUND CHIA&HAVSALT 260G,0.6484,Visual outlier: Hamming dist 0.648 > threshold 0.45,"[1367, 2359, 189, 187]"
30303,345,3,KNEKKEBRØD DIN STUND CHIA&HAVSALT 260G,0.5508,Visual outlier: Hamming dist 0.551 > threshold 0.45,"[2517, 1330, 185, 167]"
32093,361,3,KNEKKEBRØD DIN STUND CHIA&HAVSALT 260G,0.5508,Visual outlier: Hamming dist 0.551 > threshold 0.45,"[1495, 2359, 239, 174]"
33801,376,3,KNEKKEBRØD DIN STUND CHIA&HAVSALT 260G,0.5312,Visual outlier: Hamming dist 0.531 > threshold 0.45,"[259, 865, 82, 17]"
26506,313,3,KNEKKEBRØD DIN STUND CHIA&HAVSALT 260G,0.5234,Visual outlier: Hamming dist 0.523 > threshold 0.45,"[1265, 1241, 175, 163]"
25120,302,3,KNEKKEBRØD DIN STUND CHIA&HAVSALT 260G,0.4727,Visual outlier: Hamming dist 0.473 > threshold 0.45,"[2161, 1704, 190, 153]"
21100,267,3,KNEKKEBRØD DIN STUND CHIA&HAVSALT 260G,0.457,Visual outlier: Hamming dist 0.457 > threshold 0.45,"[549, 1293, 169, 147]"
27769,323,3,KNEKKEBRØD DIN STUND CHIA&HAVSALT 260G,0.457,Visual outlier: Hamming dist 0.457 > threshold 0.45,"[2489, 1800, 154, 61]"
24464,296,5,GRISSINI HVITLØK 125G GRANFORNO,0.5859,Visual outlier: Hamming dist 0.586 > threshold 0.45,"[2731, 595, 172, 101]"
25381,305,5,GRISSINI HVITLØK 125G GRANFORNO,0.5117,Visual outlier: Hamming dist 0.512 > threshold 0.45,"[185, 347, 184, 520]"
10034,111,6,Eldorado Økologiske Gårdsegg,0.5547,Visual outlier: Hamming dist 0.555 > threshold 0.45,"[859, 888, 229, 74]"
8814,89,6,Eldorado Økologiske Gårdsegg,0.5508,Visual outlier: Hamming dist 0.551 > threshold 0.45,"[1447, 2210, 622, 255]"
9622,104,6,Eldorado Økologiske Gårdsegg,0.5195,Visual outlier: Hamming dist 0.520 > threshold 0.45,"[2859, 144, 644, 140]"
8645,85,6,Eldorado Økologiske Gårdsegg,0.5117,Visual outlier: Hamming dist 0.512 > threshold 0.45,"[1815, 1211, 498, 177]"
9859,108,6,Eldorado Økologiske Gårdsegg,0.5117,Visual outlier: Hamming dist 0.512 > threshold 0.45,"[863, 1322, 484, 102]"
8643,85,6,Eldorado Økologiske Gårdsegg,0.5078,Visual outlier: Hamming dist 0.508 > threshold 0.45,"[1784, 1034, 424, 178]"
9621,104,6,Eldorado Økologiske Gårdsegg,0.4648,Visual outlier: Hamming dist 0.465 > threshold 0.45,"[2890, 249, 628, 151]"
8646,85,6,Eldorado Økologiske Gårdsegg,0.457,Visual outlier: Hamming dist 0.457 > threshold 0.45,"[1871, 1370, 453, 141]"
13841,175,7,PUFFET HAVRE 340G FIRST PRICE,0.5469,Visual outlier: Hamming dist 0.547 > threshold 0.45,"[2422, 1604, 213, 273]"
10362,116,7,PUFFET HAVRE 340G FIRST PRICE,0.543,Visual outlier: Hamming dist 0.543 > threshold 0.45,"[1454, 3085, 367, 351]"
13842,175,7,PUFFET HAVRE 340G FIRST PRICE,0.5234,Visual outlier: Hamming dist 0.523 > threshold 0.45,"[2325, 1623, 123, 229]"
11011,126,7,PUFFET HAVRE 340G FIRST PRICE,0.5195,Visual outlier: Hamming dist 0.520 > threshold 0.45,"[1437, 2177, 258, 369]"
18381,240,7,PUFFET HAVRE 340G FIRST PRICE,0.4961,Visual outlier: Hamming dist 0.496 > threshold 0.45,"[461, 1048, 74, 145]"
13028,159,7,PUFFET HAVRE 340G FIRST PRICE,0.4922,Visual outlier: Hamming dist 0.492 > threshold 0.45,"[2465, 1924, 232, 320]"
17960,235,7,PUFFET HAVRE 340G FIRST PRICE,0.4805,Visual outlier: Hamming dist 0.480 > threshold 0.45,"[621, 1056, 115, 102]"
29205,336,7,PUFFET HAVRE 340G FIRST PRICE,0.4805,Visual outlier: Hamming dist 0.480 > threshold 0.45,"[3654.0, 2316.0, 361.0, 282.0]"
15978,208,7,PUFFET HAVRE 340G FIRST PRICE,0.4727,Visual outlier: Hamming dist 0.473 > threshold 0.45,"[1016, 3213, 277, 408]"
15979,208,7,PUFFET HAVRE 340G FIRST PRICE,0.4727,Visual outlier: Hamming dist 0.473 > threshold 0.45,"[1158, 3152, 300, 429]"
10364,116,7,PUFFET HAVRE 340G FIRST PRICE,0.4531,Visual outlier: Hamming dist 0.453 > threshold 0.45,"[1773, 3047, 444, 349]"
13840,175,7,PUFFET HAVRE 340G FIRST PRICE,0.4531,Visual outlier: Hamming dist 0.453 > threshold 0.45,"[2305, 1510, 132, 166]"
20849,264,8,FLATBRØD MORS,0.5273,Visual outlier: Hamming dist 0.527 > threshold 0.45,"[1737, 3256, 334, 167]"
20850,264,8,FLATBRØD MORS,0.5273,Visual outlier: Hamming dist 0.527 > threshold 0.45,"[1736, 3398, 336, 187]"
19665,253,8,FLATBRØD MORS,0.4961,Visual outlier: Hamming dist 0.496 > threshold 0.45,"[3001, 2134, 255, 116]"
32241,362,8,FLATBRØD MORS,0.4961,Visual outlier: Hamming dist 0.496 > threshold 0.45,"[1113, 1947, 212, 28]"
23846,291,8,FLATBRØD MORS,0.4727,Visual outlier: Hamming dist 0.473 > threshold 0.45,"[1838, 1938, 213, 121]"
24731,298,8,FLATBRØD MORS,0.4688,Visual outlier: Hamming dist 0.469 > threshold 0.45,"[1382, 2045, 171, 144]"
32145,361,8,FLATBRØD MORS,0.457,Visual outlier: Hamming dist 0.457 > threshold 0.45,"[2333, 2913, 173, 149]"
1710,15,9,ESPRESSO INTENSO 16KAPSLER DOLCE GUSTO,0.4609,Visual outlier: Hamming dist 0.461 > threshold 0.42,"[2599, 1482, 94, 40]"
9920,109,10,Jacobs 10 Gårdsegg,0.4414,Visual outlier: Hamming dist 0.441 > threshold 0.42,"[559, 676, 168, 41]"
22433,278,11,GRISSINI M/OLIVENOLJE 200G JACOBS UTVALG,0.5898,Visual outlier: Hamming dist 0.590 > threshold 0.45,"[3475, 250, 86, 388]"
26035,310,11,GRISSINI M/OLIVENOLJE 200G JACOBS UTVALG,0.5469,Visual outlier: Hamming dist 0.547 > threshold 0.45,"[1065, 145, 185, 358]"
20673,262,11,GRISSINI M/OLIVENOLJE 200G JACOBS UTVALG,0.5117,Visual outlier: Hamming dist 0.512 > threshold 0.45,"[3097, 929, 354, 269]"
28800,333,11,GRISSINI M/OLIVENOLJE 200G JACOBS UTVALG,0.4883,Visual outlier: Hamming dist 0.488 > threshold 0.45,"[2879, 0, 336, 278]"
20506,261,11,GRISSINI M/OLIVENOLJE 200G JACOBS UTVALG,0.4531,Visual outlier: Hamming dist 0.453 > threshold 0.45,"[3056, 599, 240, 268]"
33284,371,11,GRISSINI M/OLIVENOLJE 200G JACOBS UTVALG,0.4531,Visual outlier: Hamming dist 0.453 > threshold 0.45,"[2391, 138, 365, 719]"
33484,374,12,Leksands Rutbit,0.5547,Visual outlier: Hamming dist 0.555 > threshold 0.45,"[729, 2283, 147, 148]"
30222,345,12,Leksands Rutbit,0.5273,Visual outlier: Hamming dist 0.527 > threshold 0.45,"[2741, 1947, 132, 126]"
21000,265,12,Leksands Rutbit,0.5234,Visual outlier: Hamming dist 0.523 > threshold 0.45,"[2343, 1775, 220, 209]"
26425,313,12,Leksands Rutbit,0.5234,Visual outlier: Hamming dist 0.523 > threshold 0.45,"[1277, 1567, 138, 126]"
21001,265,12,Leksands Rutbit,0.5039,Visual outlier: Hamming dist 0.504 > threshold 0.45,"[2544, 1769, 172, 203]"
25169,303,12,Leksands Rutbit,0.4961,Visual outlier: Hamming dist 0.496 > threshold 0.45,"[508, 1205, 159, 147]"
19512,252,12,Leksands Rutbit,0.4922,Visual outlier: Hamming dist 0.492 > threshold 0.45,"[1274, 1558, 191, 152]"
27177,317,12,Leksands Rutbit,0.4922,Visual outlier: Hamming dist 0.492 > threshold 0.45,"[1046.0, 1364.0, 141.0, 139.0]"
32338,363,12,Leksands Rutbit,0.4922,Visual outlier: Hamming dist 0.492 > threshold 0.45,"[2401, 1435, 151, 145]"
33485,374,12,Leksands Rutbit,0.4922,Visual outlier: Hamming dist 0.492 > threshold 0.45,"[750, 2428, 127, 107]"
25362,304,12,Leksands Rutbit,0.4883,Visual outlier: Hamming dist 0.488 > threshold 0.45,"[1455, 1310, 64, 77]"
24675,298,12,Leksands Rutbit,0.4805,Visual outlier: Hamming dist 0.480 > threshold 0.45,"[1394, 1369, 143, 118]"
26925,316,12,Leksands Rutbit,0.4805,Visual outlier: Hamming dist 0.480 > threshold 0.45,"[1877, 1743, 196, 169]"
30412,346,12,Leksands Rutbit,0.4766,Visual outlier: Hamming dist 0.477 > threshold 0.45,"[1927, 2374, 158, 156]"
30411,346,12,Leksands Rutbit,0.4727,Visual outlier: Hamming dist 0.473 > threshold 0.45,"[1763, 2376, 162, 155]"
32151,361,12,Leksands Rutbit,0.4648,Visual outlier: Hamming dist 0.465 > threshold 0.45,"[2160, 1951, 150, 143]"
30221,345,12,Leksands Rutbit,0.457,Visual outlier: Hamming dist 0.457 > threshold 0.45,"[2601, 1949, 149, 125]"
31616,357,12,Leksands Rutbit,0.457,Visual outlier: Hamming dist 0.457 > threshold 0.45,"[2276, 1487, 166, 179]"
32153,361,12,Leksands Rutbit,0.457,Visual outlier: Hamming dist 0.457 > threshold 0.45,"[2030, 2079, 147, 131]"
25168,303,12,Leksands Rutbit,0.4531,Visual outlier: Hamming dist 0.453 > threshold 0.45,"[627, 1210, 167, 145]"
25575,306,13,GRISSINI 125G GRANFORNO,0.4258,Visual outlier: Hamming dist 0.426 > threshold 0.42,"[2722, 713, 123, 233]"
12153,143,15,FRUKT MÜSLI 1KG FIRST PRICE,0.6406,Visual outlier: Hamming dist 0.641 > threshold 0.45,"[650, 1361, 89, 134]"
13895,175,15,FRUKT MÜSLI 1KG FIRST PRICE,0.5703,Visual outlier: Hamming dist 0.570 > threshold 0.45,"[253, 1459, 74, 35]"
14035,178,15,FRUKT MÜSLI 1KG FIRST PRICE,0.4688,Visual outlier: Hamming dist 0.469 > threshold 0.45,"[1062, 1127, 91, 142]"
15084,192,15,FRUKT MÜSLI 1KG FIRST PRICE,0.4531,Visual outlier: Hamming dist 0.453 > threshold 0.45,"[1723.0, 1339.0, 68.0, 197.0]"
8203,78,18,MELANGE MARGARIN U/MELK/SALT/SOYA 500G,0.4219,Visual outlier: Hamming dist 0.422 > threshold 0.42,"[9, 869, 240, 162]"
8304,80,18,MELANGE MARGARIN U/MELK/SALT/SOYA 500G,0.4219,Visual outlier: Hamming dist 0.422 > threshold 0.42,"[635, 0, 180, 65]"
1417,13,19,MOLLBERGS ZOEGAS 16KAPSLER DOLCE GUSTO,0.5195,Visual outlier: Hamming dist 0.520 > threshold 0.45,"[1798, 281, 34, 50]"
2174,18,19,MOLLBERGS ZOEGAS 16KAPSLER DOLCE GUSTO,0.4922,Visual outlier: Hamming dist 0.492 > threshold 0.45,"[2303, 285, 203, 187]"
25130,303,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.6602,Visual outlier: Hamming dist 0.660 > threshold 0.45,"[1700, 449, 127, 182]"
29225,337,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.6406,Visual outlier: Hamming dist 0.641 > threshold 0.45,"[2801, 593, 138, 230]"
33886,378,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.6328,Visual outlier: Hamming dist 0.633 > threshold 0.45,"[2671, 350, 224, 395]"
29128,336,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.625,Visual outlier: Hamming dist 0.625 > threshold 0.45,"[1999, 1529, 128, 225]"
29125,336,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5898,Visual outlier: Hamming dist 0.590 > threshold 0.45,"[1925, 1516, 141, 239]"
26447,313,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5859,Visual outlier: Hamming dist 0.586 > threshold 0.45,"[699, 1753, 85, 170]"
30226,345,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5859,Visual outlier: Hamming dist 0.586 > threshold 0.45,"[3231, 1883, 110, 176]"
30223,345,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5781,Visual outlier: Hamming dist 0.578 > threshold 0.45,"[2908, 1894, 99, 176]"
21424,268,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5625,Visual outlier: Hamming dist 0.562 > threshold 0.45,"[2211, 1546, 15, 170]"
31292,353,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5625,Visual outlier: Hamming dist 0.562 > threshold 0.45,"[2855, 1761, 69, 159]"
11202,128,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5547,Visual outlier: Hamming dist 0.555 > threshold 0.45,"[3938.0, 621.0, 77.0, 285.0]"
18895,246,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5547,Visual outlier: Hamming dist 0.555 > threshold 0.45,"[2407, 382, 134, 286]"
25116,302,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5547,Visual outlier: Hamming dist 0.555 > threshold 0.45,"[2519, 1642, 51, 184]"
25127,303,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5547,Visual outlier: Hamming dist 0.555 > threshold 0.45,"[1382, 443, 141, 182]"
30225,345,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5508,Visual outlier: Hamming dist 0.551 > threshold 0.45,"[3146, 1893, 75, 172]"
32255,362,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5508,Visual outlier: Hamming dist 0.551 > threshold 0.45,"[3070, 1762, 130, 172]"
29127,336,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.543,Visual outlier: Hamming dist 0.543 > threshold 0.45,"[1849, 1532, 159, 224]"
33360,373,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5352,Visual outlier: Hamming dist 0.535 > threshold 0.45,"[475, 801, 54, 118]"
27921,325,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5273,Visual outlier: Hamming dist 0.527 > threshold 0.45,"[1454, 2337, 139, 247]"
29161,336,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5273,Visual outlier: Hamming dist 0.527 > threshold 0.45,"[2172, 1867, 19, 140]"
24234,295,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5234,Visual outlier: Hamming dist 0.523 > threshold 0.45,"[294, 178, 84, 125]"
24860,300,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5234,Visual outlier: Hamming dist 0.523 > threshold 0.45,"[521.0, 2056.0, 211.0, 363.0]"
33246,371,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5234,Visual outlier: Hamming dist 0.523 > threshold 0.45,"[936, 2085, 87, 217]"
27094,317,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5195,Visual outlier: Hamming dist 0.520 > threshold 0.45,"[2886, 1877, 188, 38]"
19132,248,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5156,Visual outlier: Hamming dist 0.516 > threshold 0.45,"[3372, 1826, 146, 243]"
27920,325,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5156,Visual outlier: Hamming dist 0.516 > threshold 0.45,"[1352, 2340, 130, 249]"
33818,376,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5156,Visual outlier: Hamming dist 0.516 > threshold 0.45,"[1221, 567, 12, 73]"
19424,251,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5117,Visual outlier: Hamming dist 0.512 > threshold 0.45,"[1244, 1420, 223, 20]"
18788,245,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5078,Visual outlier: Hamming dist 0.508 > threshold 0.45,"[320, 687, 159, 229]"
27823,324,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5078,Visual outlier: Hamming dist 0.508 > threshold 0.45,"[1911, 494, 152, 318]"
32084,361,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5078,Visual outlier: Hamming dist 0.508 > threshold 0.45,"[477, 2377, 127, 228]"
30224,345,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5039,Visual outlier: Hamming dist 0.504 > threshold 0.45,"[3050, 1893, 101, 175]"
33363,373,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.5,Visual outlier: Hamming dist 0.500 > threshold 0.45,"[557, 789, 48, 119]"
28194,328,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.4961,Visual outlier: Hamming dist 0.496 > threshold 0.45,"[3075, 1707, 141, 194]"
33825,376,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.4961,Visual outlier: Hamming dist 0.496 > threshold 0.45,"[1360, 544, 38, 93]"
26449,313,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.4922,Visual outlier: Hamming dist 0.492 > threshold 0.45,"[872, 1737, 92, 181]"
20012,258,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.4883,Visual outlier: Hamming dist 0.488 > threshold 0.45,"[2280, 1161, 103, 145]"
32325,363,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.4805,Visual outlier: Hamming dist 0.480 > threshold 0.45,"[3378, 1764, 188, 301]"
30594,348,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.4766,Visual outlier: Hamming dist 0.477 > threshold 0.45,"[2180, 1759, 113, 234]"
26452,313,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.4688,Visual outlier: Hamming dist 0.469 > threshold 0.45,"[1085, 1790, 90, 173]"
28198,328,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.4609,Visual outlier: Hamming dist 0.461 > threshold 0.45,"[2557, 1686, 122, 194]"
33887,378,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.4609,Visual outlier: Hamming dist 0.461 > threshold 0.45,"[2861, 309, 245, 452]"
25129,303,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.457,Visual outlier: Hamming dist 0.457 > threshold 0.45,"[1616, 437, 138, 188]"
25374,304,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.457,Visual outlier: Hamming dist 0.457 > threshold 0.45,"[896, 1172, 35, 83]"
20013,258,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.4531,Visual outlier: Hamming dist 0.453 > threshold 0.45,"[2368, 1169, 92, 146]"
27149,317,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,0.4531,Visual outlier: Hamming dist 0.453 > threshold 0.45,"[907, 1585, 86, 192]"
10772,121,23,FITNESS FROKOST 375G NESTLE,0.5625,Visual outlier: Hamming dist 0.562 > threshold 0.45,"[898, 2327, 49, 399]"
11132,128,23,FITNESS FROKOST 375G NESTLE,0.4883,Visual outlier: Hamming dist 0.488 > threshold 0.45,"[1556, 2695, 414, 329]"
11468,132,23,FITNESS FROKOST 375G NESTLE,0.4844,Visual outlier: Hamming dist 0.484 > threshold 0.45,"[2376, 2222, 205, 318]"
15557,201,23,FITNESS FROKOST 375G NESTLE,0.457,Visual outlier: Hamming dist 0.457 > threshold 0.45,"[1089, 0, 94, 99]"
671,6,24,GRØNN MINT TE 20POS LIPTON,0.4531,Visual outlier: Hamming dist 0.453 > threshold 0.45,"[2593, 905, 115, 108]"
157,2,25,ALI MØRKBRENT KAFFEKAPSEL 16STK,0.4844,Visual outlier: Hamming dist 0.484 > threshold 0.45,"[1511, 42, 135, 126]"
6281,60,27,YELLOW LABEL TEA 50POS LIPTON,0.4531,Visual outlier: Hamming dist 0.453 > threshold 0.45,"[876, 756, 105, 92]"
15945,207,29,NESQUIK FROKOSTBLANDING 375G NESTLE,0.5547,Visual outlier: Hamming dist 0.555 > threshold 0.45,"[134, 28, 27, 94]"
11956,140,29,NESQUIK FROKOSTBLANDING 375G NESTLE,0.5508,Visual outlier: Hamming dist 0.551 > threshold 0.45,"[2390, 431, 183, 275]"
12246,145,29,NESQUIK FROKOSTBLANDING 375G NESTLE,0.5469,Visual outlier: Hamming dist 0.547 > threshold 0.45,"[0, 0, 245, 232]"
18417,241,29,NESQUIK FROKOSTBLANDING 375G NESTLE,0.5391,Visual outlier: Hamming dist 0.539 > threshold 0.45,"[0, 0, 82, 146]"
29364,337,29,NESQUIK FROKOSTBLANDING 375G NESTLE,0.5312,Visual outlier: Hamming dist 0.531 > threshold 0.45,"[3807.0, 673.0, 223.0, 282.0]"
17562,229,29,NESQUIK FROKOSTBLANDING 375G NESTLE,0.5273,Visual outlier: Hamming dist 0.527 > threshold 0.45,"[246, 1623, 192, 310]"
24166,294,29,NESQUIK FROKOSTBLANDING 375G NESTLE,0.5234,Visual outlier: Hamming dist 0.523 > threshold 0.45,"[3147, 1653, 276, 325]"
13149,161,29,NESQUIK FROKOSTBLANDING 375G NESTLE,0.5195,Visual outlier: Hamming dist 0.520 > threshold 0.45,"[0, 32, 119, 205]"
12823,156,29,NESQUIK FROKOSTBLANDING 375G NESTLE,0.5117,Visual outlier: Hamming dist 0.512 > threshold 0.45,"[814, 0, 469, 324]"
17711,232,29,NESQUIK FROKOSTBLANDING 375G NESTLE,0.5078,Visual outlier: Hamming dist 0.508 > threshold 0.45,"[400, 0, 119, 231]"
13258,163,29,NESQUIK FROKOSTBLANDING 375G NESTLE,0.5039,Visual outlier: Hamming dist 0.504 > threshold 0.45,"[374, 49, 162, 257]"
33335,373,29,NESQUIK FROKOSTBLANDING 375G NESTLE,0.4883,Visual outlier: Hamming dist 0.488 > threshold 0.45,"[1587, 647, 193, 216]"
33336,373,29,NESQUIK FROKOSTBLANDING 375G NESTLE,0.4883,Visual outlier: Hamming dist 0.488 > threshold 0.45,"[1431, 652, 182, 211]"
12245,145,29,NESQUIK FROKOSTBLANDING 375G NESTLE,0.4805,Visual outlier: Hamming dist 0.480 > threshold 0.45,"[264, 0, 278, 220]"
17114,225,29,NESQUIK FROKOSTBLANDING 375G NESTLE,0.4766,Visual outlier: Hamming dist 0.477 > threshold 0.45,"[287, 308, 183, 246]"
12824,156,29,NESQUIK FROKOSTBLANDING 375G NESTLE,0.4727,Visual outlier: Hamming dist 0.473 > threshold 0.45,"[359, 0, 513, 313]"
11990,141,29,NESQUIK FROKOSTBLANDING 375G NESTLE,0.4688,Visual outlier: Hamming dist 0.469 > threshold 0.45,"[697, 376, 172, 309]"
15376,197,29,NESQUIK FROKOSTBLANDING 375G NESTLE,0.4609,Visual outlier: Hamming dist 0.461 > threshold 0.45,"[509, 809, 63, 92]"
24167,294,29,NESQUIK FROKOSTBLANDING 375G NESTLE,0.4609,Visual outlier: Hamming dist 0.461 > threshold 0.45,"[3380, 1675, 283, 331]"
17563,229,29,NESQUIK FROKOSTBLANDING 375G NESTLE,0.457,Visual outlier: Hamming dist 0.457 > threshold 0.45,"[338, 1638, 205, 316]"
24165,294,29,NESQUIK FROKOSTBLANDING 375G NESTLE,0.4531,Visual outlier: Hamming dist 0.453 > threshold 0.45,"[2952, 1654, 251, 316]"
12703,153,30,SJOKORINGER 375G ELDORADO,0.543,Visual outlier: Hamming dist 0.543 > threshold 0.45,"[2524, 1077, 107, 251]"
